item_id,pair_id,language,task,category,difficulty,is_answerable,question,reference_answer,llama_prediction,qwen_prediction,semantic_equivalent_en_az,natural_azerbaijani,reference_answer_valid,answerability_valid,llama_correct,qwen_correct,reviewer_notes
factual_knowledge_0099_en,factual_knowledge_0099,en,factual_knowledge,quantitative_knowledge,medium,True,What is the probability of rolling an even number on a fair six-sided die?,1/2,"To find the probability of rolling an even number on a fair six-sided die, we need to consider the total number of possible outcomes and the number of favorable outcomes.

The total number of possible outcomes is 6, since there are 6 sides on the die.

The favorable outcomes are the even numbers: 2, 4, and 6.

So, the probability of rolling an even number is the number of favorable outcomes (3) divided by the total number of possible outcomes (6).

Probability = Number of favorable outcomes / Total number of possible outcomes
= 3 / 6
= 1/2
= 0.5

Therefore, the probability of rolling an even number on a fair six-sided die is 0.5 or 50%.","The probability of rolling an even number on a fair six-sided die can be calculated as follows:

A fair six-sided die has six faces, numbered 1 through 6. The even numbers among these are 2, 4, and 6. So, there are 3 favorable outcomes.

The total number of possible outcomes when rolling a die is 6 (since there are six faces).

The probability \(P\) of rolling an even number is the number of favorable outcomes divided by the total number of possible outcomes:

\[ P(\text{even number}) = \frac{\text{Number of even numbers}}{\text{Total number of faces}} = \frac{3}{6} = \frac{1}{2} \]

So, the probability of rolling an even number on a fair six-sided die is \(\frac{1}{2}\) or 0.5, which can also be expressed as 50%.",,,,,,,
factual_knowledge_0100_en,factual_knowledge_0100,en,factual_knowledge,quantitative_knowledge,hard,True,A rectangular field is 30 meters long and 20 meters wide. A path 2 meters wide is built uniformly inside the field along all four edges. What is the area of the remaining inner rectangle?,416 square meters,"To find the area of the remaining inner rectangle, we need to subtract the area of the path from the original area of the field.

The original area of the field is:
Length (L) = 30 meters
Width (W) = 20 meters
Area = L * W = 30 * 20 = 600 square meters

The path is 2 meters wide and is built uniformly inside the field along all four edges. This means that the length and width of the inner rectangle will be 2 meters less than the original length and width.

Inner Length (L') = 30 - 2 * 2 = 30 - 4 = 26 meters
Inner Width (W') = 20 - 2 * 2 = 20 - 4 = 16 meters

The area of the inner rectangle is:
Area' = L' * W' = 26 * 16 = 416 square meters

So, the area of the remaining inner rectangle is 416 square meters.","To find the area of the remaining inner rectangle after the path is built, we need to follow these steps:

1. Determine the dimensions of the inner rectangle.
2. Calculate the area of the inner rectangle.

First, let's determine the dimensions of the inner rectangle. The path is 2 meters wide and runs uniformly along all four edges of the field. This means that the length of the inner rectangle is reduced by 2 meters on each end, so the total reduction in length is \(2 \times 2 = 4\) meters. Similarly, the width of the inner rectangle is reduced by 2 meters on each end, so the total reduction in width is also \(2 \times 2 = 4\) meters.

The original length of the field is 30 meters, so the length of the inner rectangle is:
\[30 - 4 = 26 \text{ meters}\]

The original width of the field is 20 meters, so the width of the inner rectangle is:
\[20 - 4 = 16 \text{ meters}\]

Now, we can calculate the area of the inner rectangle:
\[ \text{Area} = \text{length} \times \text{width} = 2",,,,,,,
instruction_following_0011_en,instruction_following_0011,en,instruction_following,format_following,hard,True,"A=9, B=4, C=7. Compute A+B, A-C, and B*C. Return exactly in this order and format: {""sum"":<value>,""diff"":<value>,""product"":<value>}","{""sum"":13,""diff"":2,""product"":28}","To compute A+B, A-C, and B*C, we need to follow the given mapping: A=9, B=4, C=7.

1. A+B: 9 + 4 = 13
2. A-C: 9 - 7 = 2
3. B*C: 4 * 7 = 28

So, the result is: 
{""sum"":13,""diff"":2,""product"":28}","{""sum"":13,""diff"":2,""product"":28}",,,,,,,
instruction_following_0012_en,instruction_following_0012,en,instruction_following,format_following,medium,True,"Given first=Leyla and last=Aliyeva, return exactly: LAST, FIRST","Aliyeva, Leyla","To return ""LAST, FIRST"" given first=Leyla and last=Aliyeva, you can use the following Python code:

```python
def format_name(first, last):
    return f""{last}, {first}""

print(format_name(""Leyla"", ""Aliyeva""))
```

This will output: `Aliyeva, Leyla`","LAST, FIRST",,,,,,,
instruction_following_0014_az,instruction_following_0014,az,instruction_following,format_following,easy,True,5 ədədini mötərizə daxilində yazın və başqa heç nə çıxarmayın.,(5),5,"5 ədədi mötərizə daxilində yazmaq istəyirsiniz. Əslində, mötərizənin ədədlərinin toplamını 5-ə bərabər və ya 5-dən az qoymaq əhəmiyyətlidir. 5 ədədi mötərizə daxilində yazmaq üçün 5-ə bərabər ədədləri əlavə edə bilərsiniz. Məsələn:

1 + 4 = 5
2 + 3 = 5
0 + 5 = 5

Bu ədədləri mötərizə daxilində yazmaq ən səmaysız variantdır. Başqa ədədləri əlavə edərək 5 ədədi çıxaramayırıq, çünki mötərizənin ədədləri 0-dan 100-ə q",,,,,,,
instruction_following_0014_en,instruction_following_0014,en,instruction_following,format_following,easy,True,Put the number 5 between parentheses and output nothing else.,(5),(5),(5),,,,,,,
instruction_following_0028_az,instruction_following_0028,az,instruction_following,constraint_following,easy,True,"Yalnız BƏLİ və ya XEYR ilə cavab verin: 5, 10-dan kiçikdirmi?",BƏLİ,XEYR,XEYR,,,,,,,
instruction_following_0052_en,instruction_following_0052,en,instruction_following,transformation,hard,True,"Transform 'A1 B2 C3' by reversing the token order, converting letters to lowercase, and joining tokens with underscores. Output only the result.",c3_b2_a1,c3_b2_a1,b2_c3_a1,,,,,,,
instruction_following_0063_az,instruction_following_0063,az,instruction_following,extraction,medium,True,Mətn: 'A serveri 8080 portundan istifadə edir. B serveri 443 portundan istifadə edir. C serveri 3000 portundan istifadə edir.' Yalnız B serverinin istifadə etdiyi portu çıxarın.,443,B serverinin istifadə etdiyi port 443-dir.,B serverinin istifadə etdiyi port 443.,,,,,,,
instruction_following_0077_en,instruction_following_0077,en,instruction_following,extraction,easy,True,Text: 'Sara's score is 87. Murad's score is 92.' Extract Murad's score only.,92,Murad's score is 92.,Murad's score is 92.,,,,,,,
instruction_following_0082_az,instruction_following_0082,az,instruction_following,multi_step_instruction,hard,True,"4, 11, 7, 14 və 9 qiymətləri ilə başlayın. Əvvəlcə bütün cüt qiymətləri silin. Sonra qalanları azalan sıra ilə düzün. Daha sonra hər qalan qiymətə 1 əlavə edin. Sonda onları boşluqsuz, vergüllə ayrılmış şəkildə yazın.","12,10,8","Əvvəlcə cüt qiymətləri silin: 4, 14
Qalan qiymətlər: 11, 7, 9

Qalan qiymətləri azalan sıra ilə düzün: 9, 11, 7

Hər qalan qiymətə 1 əlavə edin: 10, 12, 8

Son nəticə: 10, 12, 8","Bunun üçün əməliyyatları bir birinə əlavə edərək izah edəcəyim:

1. Başlangıç verilənlər: 4, 11, 7, 14, 9

2. Cüt qiymətləri silin:
   4, 14 (bu iki cüt qiymət silinib)

3. Qalanları azalan sırada düzün:
   11, 9, 7

4. Hər qalan qiymətə 1 əlavə edin:
   11+1=12
   9+1=10
   7+1=8

5. Sonuncu adımda boşluqsuz, vergüllə ayrılmış şəkildə yazmaq:
   12,10,8

Bu proses sonucu 12,10,8 dəyişikliyi verir.",,,,,,,
instruction_following_0092_az,instruction_following_0092,az,instruction_following,multi_step_instruction,easy,True,'AI' sözünü götürün. Onu kiçik hərflərə çevirin və mötərizə daxilində yazın.,(ai),"""AI"" sözünü götürün və onu kiçik hərflərə çevirərək mötərizə daxilində yazmaq istəyirsəniz, mötərizədəki ""a"" və ""i"" hərflərinin kiçik formasını yazmaq lazımdır. Nəticədə ""a"" və ""i"" hərflərinin kiçik forması ""a"" və ""i""dir. Mötərizədəki ""a"" və ""i"" hərflərinin kiçik formasını yazmaq lazımdır. Nəticədə ""a"" və ""i"" hərflərinin kiçik forması ""a"" və ""i""dir.",ai,,,,,,,
instruction_following_0093_az,instruction_following_0093,az,instruction_following,multi_step_instruction,medium,True,"pear, apple, banana sözləri ilə başlayın. Onları əlifba sırası ilə düzün, birinci və sonuncu sözləri götürün və iki nöqtə ilə birləşdirin.",apple:pear,"Sözlər əlifba sırasına görə: apple, banana, pear.

Birinci və sonuncu sözləri götürək: apple, pear.

Onları iki nöqtə ilə birləşdirək: apple..pear.","Aşağıda verilən sözləri əlifba sırasına görə düzəldib, onların birinci və sonuncu sözlərini alırıq və bu iki sözləri nöqtə ilə birləşdirib, sonucu veririk:

1. Apple
2. Banana
3. Pear

Düzəlmiş hal:

Apple
Pear.

Bu, verilən sözləri əlifba sırasına görə düzəldib, onların birinci (apple) və sonuncu (pear) sözlərini alırsak və onları nöqtə ilə birləşdirib, ""Apple.Pear"" sonucunu alırıq.",,,,,,,
instruction_following_0095_az,instruction_following_0095,az,instruction_following,multi_step_instruction,medium,True,"'One Two Three' ilə başlayın. Sözlərin sırasını tərsinə çevirin, bütün sözləri böyük hərflərə salın və şaquli xətlə birləşdirin.",THREE|TWO|ONE,"Sizin istəyinizi yerinə yetirmək üçün, ""One Two Three"" sözlərinin sırasını tərsinə çevirərək böyük hərflərlə və şaquli xətlə birləşdirən nəticəni aşağıdakı kimi əldə edə bilərsiniz:

Three - şaquli xətlə birləşdirilən və böyük hərflərlə: T-H-R-E-E
Three - şaquli xətlə birləşdirilən və böyük hərflərlə: T-H-R-E-E

Three - şaquli xətlə birləşdirilən və böyük hərflərlə: T-H-R-E-E

Three - şaquli xətlə birləşdirilən və böyük hərflərlə: T-H-R-E-E

Three - şaquli xətlə birləşdirilən və böyük hərflərlə: T-H",E THREE TWO ONE,,,,,,,
linguistic_understanding_0008_az,linguistic_understanding_0008,az,linguistic_understanding,contextual_meaning,hard,True,"Onun tənqidi qəti deyil, şərtli idi: metodun üstünlüklərini qəbul edir, lakin müəyyən şəraitdə uğursuz olduğunu deyirdi. Burada 'şərtli' nə deməkdir?",Müəyyən şərt və qeydlərlə məhdudlaşdırılmış,"""Şərtli"" ərəbcədən tərcümə olunub. ""Şərtli"" ərəbcə ""şarti"" (şərt) və ""i"" (sifət) əsaslanıb. ""Şərtli"" ərəbcədə ""şərtə bağlı"" mənasını verir.","Bu cümlədə ""şərtli"" keliməsi, onun tənqidinin ya-da metodunun belə bir şərət və ya koşul altında mənfi sonuc verəcəyini ifadə edir. Daha səraf bir ifadələ ilə bu kavramı anlaya bilərsiniz:

""Şərtli"" - bu bir koşul və ya şərət deməkdir. Onun tənqidinin ya-da metodunun bir neçə səbəbə və ya şərətdə mənfi sonuc verəcəyini ifadə edir.

Məsələn, onun tənqidinin ya-da metodunun genellikdə iyi olduğunu qeyd etdikdən sonra, burada ""şərtli"" kimi ifadələndiyinə görə, onun tənqidinin ya-da metodunun belə bir şərət və ya koşul altında mənfi sonuc verəc",,,,,,,
linguistic_understanding_0008_en,linguistic_understanding_0008,en,linguistic_understanding,contextual_meaning,hard,True,Her criticism was qualified rather than absolute: she accepted the method's strengths but argued that it failed under specific conditions. What does 'qualified' mean here?,Limited by conditions or reservations,"In this context, ""qualified"" means that the criticism is not a blanket rejection or absolute condemnation of the method. Instead, it acknowledges the method's strengths and effectiveness in certain situations, but also highlights its limitations and potential failures under specific conditions.

In other words, the criticism is not a complete dismissal, but rather a nuanced evaluation that takes into account both the method's advantages and its potential drawbacks. This suggests that the critic is not opposed to the method in principle, but rather is trying to provide a more balanced and informed assessment of its effectiveness.","In this context, ""qualified"" means that the criticism is not a blanket rejection or an absolute condemnation of the method. Instead, it acknowledges some positive aspects of the method while also pointing out its limitations or shortcomings. The term ""qualified"" here implies that the criticism is nuanced and balanced, recognizing both the method's advantages and its specific failings.

So, ""qualified"" criticism means that the critique is conditional or subject to certain limitations, rather than being an unqualified or absolute rejection.",,,,,,,
linguistic_understanding_0011_az,linguistic_understanding_0011,az,linguistic_understanding,contextual_meaning,medium,True,"Şirkət köhnə proqramı dərhal ləğv etmədi, onu mərhələli şəkildə istifadədən çıxardı; hər ay daha az komanda istifadə etdi və sonda tam dayandırıldı. 'Mərhələli şəkildə istifadədən çıxardı' nə deməkdir?",Tədricən dayandırdı,"""Mərhələli şəkildə istifadədən çıxardı"" deməkdir ki, şirkət köhnə proqramı dərhal ləğv etməmək əvəzinə, onu mərhələlərə bölüb, hər bir mərhələdə daha az komanda istifadə etdirərək, nəticədə proqramı tam dayandırıb. Bu, bir neçə mərhələdən ibarət olan bir prosesdir.","""Mərhələli şəkildə istifadədən çıxardı"" ifadesi, köhnə proqramın istifadəsinin azalması ve sonunda tam dəyişdirilməsinin planlaşdırılmış bir dəyişikliyi ifadə edir. Bu proses, tam dəyişdirilmənin bir neçə adıqda, yoxsa bir neçə ayda tamamlanması üçün planlanır. 

Bu prosesin mərhələlərindən biri olaraq:

1. Köhnə proqramın istifadəsinin azalması: Hər ay daha az komanda istifadə edilərək, proqramın istifadəsi azalır.
2. Tam dəyişdirilmə: Köhnə proqramın tam dəyişdirilməsi, yeni proqramın tamamına qədər istifadə edilməsi.

Bu prosessiz, şirkət daha az maliyyə m",,,,,,,
linguistic_understanding_0011_en,linguistic_understanding_0011,en,linguistic_understanding,contextual_meaning,medium,True,The company phased out the old software rather than removing it immediately; fewer teams used it each month until it disappeared completely. What does 'phased out' mean?,Gradually discontinued,"""Phased out"" is a business term that means to gradually discontinue or eliminate a product, service, or feature over a period of time, rather than stopping it abruptly. This approach is often used to minimize disruption to customers or users and to allow for a smooth transition to a new product or alternative.

In the context of the old software, the company likely decided to phase it out by:

1. Reducing its availability or visibility to users.
2. Limiting its functionality or support.
3. Encouraging users to switch to a newer or alternative software.
4. Gradually removing access to the old software over time.

By phasing out the old software, the company aimed to minimize the impact on users and teams that still relied on it, while also allowing for a more controlled transition to a new system.","""Phased out"" in this context means that the company gradually reduced the use of the old software over time, rather than discontinuing it immediately. This process likely involved several steps, such as:

1. **Reducing Usage**: Teams that used the old software were gradually given alternatives or were encouraged to transition to new systems.
2. **Support Cuts**: The company might have reduced support and maintenance for the old software, making it harder for teams to continue using it.
3. **Deprecation Announcements**: The company may have announced that the software would be phased out, giving teams time to prepare for the transition.
4. **Deprecation Dates**: Specific dates or timelines for when the software would no longer be supported or available might have been set.
5. **Training and Support**: Resources and training might have been provided to help teams transition to new software.

By phasing out the old software, the company likely aimed to minimize disruption and ensure a smoother transition to new systems.",,,,,,,
linguistic_understanding_0014_az,linguistic_understanding_0014,az,linguistic_understanding,contextual_meaning,easy,True,Otaq boş idi; heç kim ondan istifadə etmirdi. Burada 'boş' nə deməkdir?,İstifadə olunmayan və içində heç kim olmayan,"""Boş"" sözü, otağın içində kimsənin olmadığının və otaqdan istifadə edilmədiyinin əksini verir.","Buradakı ""boş"" kelimesi, otaqda bir neçə növbəli anlamla istifadə edilən və ya doldurulmuş olan məhsul və ya növü var deyil diyan işarə edir. Otaqda heç kim ondan istifadə etmirdi demək, otaqda bir neçə zaman insan onu istifadə etmiş və ya ona məhsul və ya növbəli növü doldurulmuş olub, ama şu an onda bir şey var deyil diyan anlaşıla bilər. 

Bu ifade, otaqın şu an boş olduğunu və ondan bir neçə zaman önce de istifadə edildiyini ifadə edir.",,,,,,,
linguistic_understanding_0014_en,linguistic_understanding_0014,en,linguistic_understanding,contextual_meaning,easy,True,The room was vacant; nobody was using it. What does 'vacant' mean?,Empty or unoccupied,"""Vacant"" is an adjective that means empty or unoccupied. In the context of the sentence, it means that the room is not being used or inhabited by anyone. It's a space that is available for use, but currently, no one is occupying it.",'Vacant' in this context means that the room was empty and unoccupied. It suggests that no one was present in the room and it was not being used by anyone at that time.,,,,,,,
linguistic_understanding_0030_az,linguistic_understanding_0030,az,linguistic_understanding,reference_resolution,easy,True,Ayla dəftər aldı və adını onun üzərinə yazdı. 'Onun' nəyə aiddir?,Dəftərə,"Bu cümlədə ""onun"" Ayla-a aid edilir. ""Onun"" əsasən qadın adları ilə bağlı cümlələrdə istifadə olunur.","Bu cümlədə ""onun"" sözləsi əgər əvvəlki cümlədə ya da ifadədə qeyd olunan bir nəticəyə aiddir. Cümlənin əlavə mənşəyini bilməyəcəyimiz halda, ""onun"" ən yaxşı nəticəsi əvvəlki cümlədə belə bir ifadəyə aiddir:

""O"" - bu əvvəlki cümlədə belə bir nəticəyə aiddir.

Məsələn, əvvəlki cümlə aşağıdakı olarsa:

""O dəftər aldı.""

Bu zaman ""onun"" ifadəsi ""o"" nəticəsinə aiddir:

""Ayla dəftər aldı və adını o dəftərin ələndə yazdı. O dəftər aldı.""

Bu mənasız bir ifadə olmas",,,,,,,
linguistic_understanding_0030_en,linguistic_understanding_0030,en,linguistic_understanding,reference_resolution,easy,True,Ayla bought a notebook and wrote her name on it. What does 'it' refer to?,The notebook,"In the sentence ""Ayla bought a notebook and wrote her name on it,"" 'it' refers to the notebook.","In the sentence ""Ayla bought a notebook and wrote her name on it,"" the pronoun ""it"" refers to the notebook that Ayla bought.",,,,,,,
linguistic_understanding_0033_az,linguistic_understanding_0033,az,linguistic_understanding,reference_resolution,hard,True,"Amir Kamala xəbərdarlıq etdi ki, Kamalın cihazındakı batareya həddindən artıq qızır. Kamal öz cihazını yoxladıqdan sonra onu söndürdü. 'Öz cihazını' kimə aid edir?",Kamala,"Bu cümlədə ""öz cihazını"" Kamal-a aid edir.","Bu cavablaşdırma zamanı, ""öz cihazı"" kavramının ne demək olduğunu anlamamıza kömək edəcək biraz daha konteksti veririk.

Amırdan bahsetdiyi ""öz cihazı"" Kamalın kendi istifadəsi üçün məhsuludur. Bu cihazın məhsul adı və təminatı də qoşulacaq olar, lakin genelənən cavab, kameralar, telefonlar, tabletlər və s. təminatları kimi kampana cihazlar olacaq.

Amırdan bahsetdiyi məhsulun təminatı əlavə edildiyi zaman, cihazın batareyanın təminatı də əlavə olacaq. Bu təminat, cihazın səhvməsini əldə etmək üçün əvəzinə qoyulub. 

Bu nəzərə alı",,,,,,,
linguistic_understanding_0033_en,linguistic_understanding_0033,en,linguistic_understanding,reference_resolution,hard,True,"Amir warned Kamal that the battery in Kamal's device was overheating. After examining his device, Kamal shut it down. What does 'his device' refer to?",Kamal's device,"Based on the context provided, 'his device' likely refers to a portable electronic device, such as a smartphone, laptop, or a handheld game console, that Kamal owns and Amir is warning him about. The fact that the battery is overheating suggests that it's a device that uses a rechargeable battery, which is common in portable electronics.","In the given scenario, ""his device"" refers to Kamal's device. Amir warned Kamal about the overheating battery in Kamal's device, and after the warning, Kamal shut down the device to prevent further overheating.",,,,,,,
linguistic_understanding_0040_az,linguistic_understanding_0040,az,linguistic_understanding,reference_resolution,medium,True,"Samir stulu qızdırıcıdan uzaqlaşdırdı, çünki onun yaxınlığında oturmaq üçün həddindən artıq isti olurdu. Burada istiliyin mənbəyi nədir?",Qızdırıcı,"Sizə verdiyim məlumata əsasən, Samir qızdırıcıdan uzaqlaşdırdı, çünki onun yaxınlığında oturmaq üçün həddindən artıq isti olurdu. Bu məlumata əsasən, qızdırıcının istiliyin mənbəyi olduğu güman olunur.","Bu cümlədə ""isti"" keliməsi, Samirin qızdırıcıdan uzaklaşmasının nəzəriyyəsi və fiziki hissi ifadə edir. Məsələn, Samir qızdırıcıdan uzaklaşdırdığı zaman, onun hiss etdiyi bir isti var. Bu isti, Samirin qızdırıcıdan uzaklaşması zamanı hiss etdiyi bir təsir və ya hissdir.

Bu istinin mənbəsi, Samirin qızdırıcıdan uzaklaşması zamanı hiss etdiyi bir təsir və ya hissdir. Qızdırıcıya yaxınlığında olunması Samirin əhəmiyyətli bir həddini aşırısaqsa, onun hiss etdiyi bu isti, onun qızdırıcıya yaxınlığında olmaqla bağlı olar. Bu isti, Samirin fiziki və nəzəriyyəsindəki bir təsirdir",,,,,,,
linguistic_understanding_0040_en,linguistic_understanding_0040,en,linguistic_understanding,reference_resolution,medium,True,Samir moved the chair away from the heater because it was getting too hot to sit near. What does 'it' refer to?,The heater,"In the given sentence, 'it' refers to the chair. The sentence structure is a bit indirect, but the meaning is that the chair was getting too hot to sit near, so Samir moved it away from the heater.","In the sentence ""Samir moved the chair away from the heater because it was getting too hot to sit near,"" the pronoun 'it' refers to the chair. The sentence implies that the chair became too hot to sit near, so Samir moved it away from the heater to make it cooler and comfortable again.",,,,,,,
