pair_id,question_en,question_az,is_unanswerable,semantic_equivalent_en_az,natural_azerbaijani,category_valid,difficulty_valid,reviewer_notes
rel_false_premise_004,The company has never operated outside Azerbaijan. When did it open its first office in Germany?,Şirkət heç vaxt Azərbaycandan kənarda fəaliyyət göstərməyib. Almaniyada ilk ofisini nə vaxt açıb?,,,,,,
rel_false_premise_005,The report says the experiment used only adult participants. What was the average age of the children who completed the experiment?,Hesabatda təcrübədə yalnız yetkin iştirakçıların olduğu bildirilir. Təcrübəni tamamlayan uşaqların orta yaşı neçə idi?,,,,,,
rel_false_premise_006,The biography states that the writer published no novels before 2010. What was the title of the novel she published in 2007?,Bioqrafiyada yazıçının 2010-cu ildən əvvəl heç bir roman nəşr etdirmədiyi bildirilir. Onun 2007-ci ildə nəşr etdirdiyi romanın adı nə idi?,,,,,,
rel_false_premise_007,The dataset contains observations from only 2022 and 2023. What was the average value recorded in 2021?,Məlumat dəstində yalnız 2022 və 2023-cü illərə aid müşahidələr var. 2021-ci ildə qeydə alınmış orta göstərici nə qədər idi?,,,,,,
rel_false_premise_008,The study explicitly reports that no participants withdrew after enrollment. Why did the first participant withdraw?,Tədqiqatda qeydiyyatdan sonra heç bir iştirakçının tədqiqatdan ayrılmadığı açıq şəkildə bildirilir. Birinci iştirakçı niyə tədqiqatdan ayrıldı?,,,,,,
rel_false_premise_009,The financial statement says the company had no debt at the end of the year. Which bank held its largest outstanding loan?,Maliyyə hesabatında ilin sonunda şirkətin heç bir borcu olmadığı bildirilir. Onun ən böyük ödənilməmiş krediti hansı bankda idi?,,,,,,
rel_false_premise_010,The paper states that Model C was not evaluated on the test set. What test-set accuracy did Model C achieve?,Məqalədə Model C-nin test dəstində qiymətləndirilmədiyi bildirilir. Model C test dəstində hansı dəqiqlik göstəricisini əldə edib?,,,,,,
rel_impossible_inference_001,A car travelled 120 kilometres in total. What was its exact speed at 10:15 a.m.?,Avtomobil ümumilikdə 120 kilometr yol qət edib. Saat 10:15-də onun dəqiq sürəti neçə idi?,,,,,,
rel_impossible_inference_002,A runner completed a 10-kilometre race in 52 minutes. What was the runner's exact speed at the 7-kilometre mark?,Qaçışçı 10 kilometrlik yarışı 52 dəqiqəyə tamamlayıb. 7-ci kilometr nöqtəsində onun dəqiq sürəti neçə idi?,,,,,,
rel_impossible_inference_003,A shop sold 240 items during the day. What was the exact number of items sold between 2:00 p.m. and 3:00 p.m.?,Mağaza gün ərzində 240 məhsul satıb. Saat 14:00 ilə 15:00 arasında dəqiq neçə məhsul satılıb?,,,,,,
rel_impossible_inference_004,A battery lasted for eight hours before becoming empty. What was its exact charge level after three hours?,Batareya tam boşalana qədər səkkiz saat işləyib. Üç saatdan sonra onun dəqiq enerji səviyyəsi neçə faiz idi?,,,,,,
rel_impossible_inference_005,The average temperature for the week was 18°C. What was the exact temperature at noon on Wednesday?,Həftə üzrə orta temperatur 18°C olub. Çərşənbə günü günorta saatlarında dəqiq temperatur neçə dərəcə idi?,,,,,,
rel_impossible_inference_006,A class of 30 students achieved an average score of 76. What score did the highest-scoring student receive?,30 şagirddən ibarət sinfin orta balı 76 olub. Ən yüksək nəticə göstərən şagird neçə bal toplayıb?,,,,,,
rel_impossible_inference_007,"A website received 18,000 visits during April. On which exact date did it receive the most visits?",Vebsayt aprel ayında 18 000 ziyarət alıb. Ən çox ziyarət dəqiq hansı tarixdə qeydə alınıb?,,,,,,
rel_impossible_inference_008,"A model achieved an average latency of 120 milliseconds across 1,000 requests. What was the latency of request number 417?",Model 1 000 sorğu üzrə orta hesabla 120 millisaniyə gecikmə göstərib. 417-ci sorğunun gecikməsi dəqiq neçə millisaniyə idi?,,,,,,
rel_impossible_inference_009,The company reports that its total annual electricity consumption decreased by 8%. During which month was electricity consumption highest?,Şirkət illik ümumi elektrik enerjisi istehlakının 8% azaldığını bildirir. Elektrik enerjisi istehlakı hansı ayda ən yüksək olub?,,,,,,
rel_impossible_inference_010,The study reports a correlation of 0.62 between study time and exam score. What exam score would a student who studied exactly 5 hours receive?,"Tədqiqatda dərsə ayrılan vaxt ilə imtahan balı arasında 0,62 korrelyasiya olduğu bildirilir. Dəqiq 5 saat dərs oxuyan tələbə neçə bal alardı?",,,,,,
rel_insufficient_context_001,"The message says, 'She approved it after the review.' What exactly did she approve?","Mesajda deyilir: 'O, yoxlamadan sonra bunu təsdiqlədi.' O, dəqiq olaraq nəyi təsdiqlədi?",,,,,,
rel_insufficient_context_002,"The note says, 'They rejected it after the discussion.' What exactly was rejected?",Qeyddə deyilir: 'Müzakirədən sonra onu rədd etdilər.' Dəqiq olaraq nə rədd edildi?,,,,,,
rel_insufficient_context_003,"The email states, 'He sent it to her yesterday.' What exactly was sent?","E-poçtda deyilir: 'O, bunu dünən ona göndərdi.' Dəqiq olaraq nə göndərildi?",,,,,,
rel_insufficient_context_004,"The message says, 'This caused the delay.' What does 'this' refer to?","Mesajda deyilir: 'Bu, gecikməyə səbəb oldu.' Burada 'bu' nəyi ifadə edir?",,,,,,
rel_insufficient_context_005,"The report says, 'After reviewing the results, they changed the plan.' What part of the plan was changed?",Hesabatda deyilir: 'Nəticələr nəzərdən keçirildikdən sonra plan dəyişdirildi.' Planın hansı hissəsi dəyişdirildi?,,,,,,
rel_insufficient_context_006,"The article states, 'The team adopted the new approach because it was more effective.' What specific approach was adopted?",Məqalədə deyilir: 'Komanda daha effektiv olduğu üçün yeni yanaşmanı qəbul etdi.' Dəqiq olaraq hansı yanaşma qəbul edildi?,,,,,,
rel_insufficient_context_007,"The summary says, 'The second method performed better.' What were the two methods being compared?",Xülasədə deyilir: 'İkinci metod daha yaxşı nəticə göstərdi.' Müqayisə olunan iki metod hansılar idi?,,,,,,
rel_insufficient_context_008,"The transcript says, 'She changed her position after the meeting.' What position did she hold before the meeting?","Stenoqramda deyilir: 'O, iclasdan sonra mövqeyini dəyişdi.' İclasdan əvvəl onun mövqeyi nə idi?",,,,,,
rel_insufficient_context_009,"The document says, 'The final version corrected the main problem.' What exactly was the main problem?",Sənəddə deyilir: 'Yekun versiya əsas problemi aradan qaldırdı.' Əsas problem dəqiq olaraq nə idi?,,,,,,
rel_insufficient_context_010,"The discussion concludes, 'This explains why the outcome differed from expectations.' What specific factor explains the difference?","Müzakirənin sonunda deyilir: 'Bu, nəticənin gözləntilərdən niyə fərqləndiyini izah edir.' Fərqi izah edən konkret amil nədir?",,,,,,
rel_missing_information_001,A student scored 84 on the first exam and improved on the second exam. What was the student's exact score on the second exam?,Tələbə birinci imtahanda 84 bal topladı və ikinci imtahanda nəticəsini yaxşılaşdırdı. İkinci imtahanda onun dəqiq balı neçə idi?,,,,,,
rel_missing_information_002,"A library recorded 1,240 visitors in March. How many of them borrowed at least one book?",Kitabxanaya mart ayında 1 240 nəfər gəlib. Onlardan neçəsi ən azı bir kitab götürüb?,,,,,,
rel_missing_information_003,The train arrived 18 minutes late. What time was it originally scheduled to arrive?,Qatar 18 dəqiqə gecikmə ilə gəlib. Onun əvvəlcədən nəzərdə tutulan dəqiq çatma vaxtı neçə idi?,,,,,,
rel_missing_information_004,Nigar bought three items and paid 42 manat in total. How much did the second item cost?,Nigar üç məhsul alıb və ümumilikdə 42 manat ödəyib. İkinci məhsulun qiyməti neçə manat idi?,,,,,,
rel_missing_information_005,A conference agenda lists a keynote speaker but does not include the starting time of the keynote. At what exact time does the keynote begin?,"Konfrans proqramında əsas məruzəçi göstərilib, lakin əsas çıxışın başlama vaxtı qeyd olunmayıb. Əsas çıxış dəqiq saat neçədə başlayır?",,,,,,
rel_missing_information_006,The experiment involved 48 participants divided into two groups. How many participants were assigned to the control group?,Təcrübədə iki qrupa bölünmüş 48 iştirakçı olub. Nəzarət qrupunda neçə iştirakçı var idi?,,,,,,
rel_missing_information_007,The report says that apartment prices rose compared with the previous year. By exactly how many manat did the average price increase?,Hesabatda mənzil qiymətlərinin əvvəlki illə müqayisədə artdığı bildirilir. Orta qiymət dəqiq neçə manat artıb?,,,,,,
rel_missing_information_008,A researcher states that Model A performed better than Model B on the test set. What was Model A's exact accuracy?,Tədqiqatçı Model A-nın test dəstində Model B-dən daha yaxşı nəticə göstərdiyini bildirir. Model A-nın dəqiq düzgünlük göstəricisi neçə idi?,,,,,,
rel_missing_information_009,A survey found that most respondents preferred option A over option B. How many respondents selected option A?,Sorğuda respondentlərin əksəriyyətinin B variantı ilə müqayisədə A variantına üstünlük verdiyi müəyyən edilib. A variantını neçə respondent seçib?,,,,,,
rel_missing_information_010,The study reports a statistically significant difference between the two groups. What was the exact numerical difference between their mean scores?,Tədqiqat iki qrup arasında statistik baxımdan əhəmiyyətli fərq olduğunu bildirir. Qrupların orta göstəriciləri arasındakı dəqiq rəqəmsal fərq nə qədər idi?,,,,,,
rel_underspecified_entity_or_time_001,"The article mentions two people named Kamal: one is a teacher and the other is an engineer. It later says, 'Kamal submitted the application.' Which Kamal submitted it?","Məqalədə Kamal adlı iki şəxsdən bəhs olunur: biri müəllim, digəri isə mühəndisdir. Daha sonra 'Kamal ərizəni təqdim etdi' deyilir. Ərizəni hansı Kamal təqdim etdi?",,,,,,
rel_underspecified_entity_or_time_002,"The report mentions two researchers named Aylin working on different projects. It later says, 'Aylin approved the final draft.' Which Aylin approved it?",Hesabatda fərqli layihələr üzərində çalışan Aylin adlı iki tədqiqatçıdan bəhs olunur. Daha sonra 'Aylin yekun variantı təsdiqlədi' deyilir. Hansı Aylin onu təsdiqlədi?,,,,,,
rel_underspecified_entity_or_time_003,"Two meetings were held on Monday, one in the morning and one in the afternoon. The note says, 'The decision was made during the meeting.' Which meeting does it refer to?","Bazar ertəsi iki iclas keçirilib: biri səhər, digəri günortadan sonra. Qeyddə 'Qərar iclas zamanı qəbul edildi' yazılıb. Burada hansı iclas nəzərdə tutulur?",,,,,,
rel_underspecified_entity_or_time_004,"The text refers to two versions of the software, Version 2 and Version 3. It says, 'This version fixed the security issue.' Which version fixed it?","Mətndə proqram təminatının iki versiyasından, Versiya 2 və Versiya 3-dən bəhs olunur. 'Bu versiya təhlükəsizlik problemini həll etdi' deyilir. Hansı versiya nəzərdə tutulur?",,,,,,
rel_underspecified_entity_or_time_005,The article mentions two cities named Springfield in different states. It says the company opened an office in Springfield. Which Springfield was it?,Məqalədə fərqli ştatlarda yerləşən Springfield adlı iki şəhərdən bəhs olunur. Şirkətin Springfield-də ofis açdığı deyilir. Söhbət hansı Springfield şəhərindən gedir?,,,,,,
rel_underspecified_entity_or_time_006,"The timeline lists two events in 2018, one in March and one in November. It says, 'After this event, sales increased.' Which 2018 event is being referenced?","Zaman xəttində 2018-ci ildə iki hadisə göstərilir: biri martda, digəri noyabrda. 'Bu hadisədən sonra satışlar artdı' deyilir. 2018-ci ilin hansı hadisəsi nəzərdə tutulur?",,,,,,
rel_underspecified_entity_or_time_007,The study includes two groups both labelled Group A in separate experiments. The summary says Group A showed the largest improvement. Which Group A does it mean?,Tədqiqatda ayrı-ayrı təcrübələrdə hər ikisi A qrupu adlandırılan iki qrup var. Xülasədə A qrupunun ən böyük irəliləyiş göstərdiyi deyilir. Hansı A qrupu nəzərdə tutulur?,,,,,,
rel_underspecified_entity_or_time_008,"The document refers to two quarterly reports published in April, one for Europe and one for Asia. It says, 'The April report showed a decline.' Which report showed the decline?","Sənəddə apreldə dərc olunan iki rüblük hesabatdan bəhs olunur: biri Avropa, digəri Asiya üçün. 'Aprel hesabatı azalma göstərdi' deyilir. Hansı hesabat nəzərdə tutulur?",,,,,,
rel_underspecified_entity_or_time_009,"The dataset contains records from two different years, and both include an entry dated 15 June. A note says, 'The value on 15 June was unusually high.' Which year does the note refer to?",Məlumat dəstində iki fərqli ilə aid qeydlər var və hər iki ildə 15 iyun tarixli qeyd mövcuddur. Qeyddə '15 iyundakı göstərici qeyri-adi dərəcədə yüksək idi' deyilir. Hansı il nəzərdə tutulur?,,,,,,
rel_underspecified_entity_or_time_010,"The paper cites two models called Alpha, one used in the pilot study and one in the final experiment. It says, 'Alpha produced the lower error rate.' Which Alpha model is meant?","Məqalədə Alpha adlanan iki modeldən bəhs olunur: biri pilot tədqiqatda, digəri yekun təcrübədə istifadə olunub. 'Alpha daha aşağı səhv göstəricisi verdi' deyilir. Hansı Alpha modeli nəzərdə tutulur?",,,,,,
